root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:58:17.649676 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9108:9336, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 228
15:58:17.649740 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9336:9592, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 256
15:58:17.649779 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9592:9628, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.649833 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9628:9856, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 228
15:58:17.649871 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9856:9892, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.649926 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9892:10120, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 228
15:58:17.649963 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10120:10156, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650018 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10156:10376, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 220
15:58:17.650080 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10376:10412, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650124 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10412:10640, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 228
15:58:17.650163 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10640:10676, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650214 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10676:10896, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 220
15:58:17.650244 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10896:10932, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650300 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10932:11160, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 228
15:58:17.650403 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11160:11452, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 292
15:58:17.650437 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11452:11680, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 228
15:58:17.650469 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11680:11716, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650527 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11716:11936, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 220
15:58:17.650566 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11936:11972, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650628 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11972:12200, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 228
15:58:17.650670 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12200:12236, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 36
15:58:17.650730 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12236:12456, ack 1, win 501, options [nop,nop,TS val 834033629 ecr 2631074001], length 220
15:58:17.650769 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12456:12492, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.650824 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12492:12720, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 228
15:58:17.650867 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12720:12756, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.650926 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12756:12976, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 220
15:58:17.650975 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12976:13012, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651062 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13012:13240, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 228
15:58:17.651103 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13240:13276, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651225 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13276:13496, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 220
15:58:17.651265 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13496:13532, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
