root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 src 159.203.26.59
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
16:01:41.066980 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13100:13136, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067023 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13136:13356, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 220
16:01:41.067050 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13356:13392, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067089 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13392:13620, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 228
16:01:41.067116 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13620:13656, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067184 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13656:13876, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 220
16:01:41.067221 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13876:13912, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067269 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13912:14140, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 228
16:01:41.067326 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14140:14404, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 264
16:01:41.067373 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14404:14440, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067422 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14440:14668, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 228
